Postcode,Bevolking,Inkomen,Gemiddelde_leeftijd,Private_households,Institutional_household,Single_persons,Single_parent,Couple_with_kids,Couple_no_kids,Kid_living_with_parents,Other_household_member,nulTotTien,tienTotTwintig,twintigTotDertig,dertigTotVeertig,veertigTotVijftig,vijftigTotZestig,zestigTotZeventig,zeventigPlus
1011,9670.0,32.0,42.85038363171356,0.9927611168562565,0.007238883143743537,0.4389865563598759,0.03360910031023785,0.10289555325749741,0.27197518097207857,0.1282316442605998,0.017063081695966906,0.059846547314578,0.05217391304347826,0.21074168797953965,0.15549872122762148,0.12941176470588237,0.14782608695652175,0.14884910485933503,0.09565217391304348
1012,8420.0,26.2,37.43920972644377,0.9982185273159145,0.0017814726840855108,0.48634204275534443,0.021971496437054632,0.06294536817102138,0.3153206650831354,0.07957244655581948,0.032066508313539195,0.04012158054711246,0.03221884498480243,0.33677811550151976,0.2358662613981763,0.12462006079027356,0.10455927051671733,0.07598784194528875,0.04984802431610942
1013,21335.0,30.3,40.9720908230842,0.9810171080384344,0.018982891961565503,0.3508319662526365,0.04499648464963675,0.1392078743848137,0.24326224513709865,0.18162643543473167,0.021092102179517225,0.09176915799432356,0.06456953642384106,0.1544465468306528,0.1868495742667928,0.15397350993377484,0.14971617786187322,0.11423841059602649,0.08443708609271523
1014,1740.0,35.0,34.63709677419355,0.9827586206896551,0.017241379310344827,0.22988505747126436,0.020114942528735632,0.22413793103448276,0.29022988505747127,0.20689655172413793,0.011494252873563218,0.0967741935483871,0.04032258064516129,0.22580645161290322,0.3225806451612903,0.1532258064516129,0.08870967741935484,0.04838709677419355,0.024193548387096774
1015,14885.0,33.3,42.5402955003358,0.9986563654685925,0.0013436345314074571,0.43231441048034935,0.0329190460194827,0.11521666106818945,0.26200873362445415,0.13537117903930132,0.020826335236815586,0.06447280053727333,0.05607790463398254,0.18435191403626594,0.17293485560779046,0.145063801208865,0.1511081262592344,0.12726662189388852,0.0987239758226998
1016,10915.0,35.1,42.34903934126258,0.9954191479615209,0.004580852038479157,0.4388456252863033,0.02977553825011452,0.09757214841960604,0.2853870819972515,0.12001832340815392,0.023820430600091615,0.05718206770356816,0.05123513266239707,0.20951509606587373,0.1838975297346752,0.13357731015553523,0.1422689844464776,0.11802378774016468,0.10430009149130832
1017,12645.0,41.3,40.05753968253968,0.9992091735863978,0.0007908264136022143,0.398576512455516,0.02530644523527086,0.12455516014234876,0.2862791617240016,0.13997627520759193,0.024515618821668642,0.0626984126984127,0.0630952380952381,0.2369047619047619,0.18571428571428572,0.1349206349206349,0.13095238095238096,0.09841269841269841,0.0873015873015873
1018,20920.0,31.4,40.98084701403759,0.9619980879541109,0.038001912045889104,0.36615678776290633,0.03704588910133843,0.13288718929254303,0.246414913957935,0.16085086042065008,0.01864244741873805,0.07137758743754462,0.06876040923150131,0.19938139424220794,0.1667856293123959,0.13871044492029502,0.14846538187009278,0.1256245538900785,0.0808945990958839
1019,18905.0,42.6,39.200671140939605,0.9973551970378207,0.0026448029621793175,0.21951864586088338,0.04839989420788151,0.20206294631049987,0.2689764612536366,0.24173499074318963,0.0166622586617297,0.1025503355704698,0.1087248322147651,0.11651006711409397,0.15651006711409396,0.17342281879194632,0.1916778523489933,0.10228187919463087,0.04832214765100671
1021,7110.0,24.4,38.22586328400282,0.9964838255977496,0.0035161744022503515,0.2974683544303797,0.06188466947960619,0.15541490857946555,0.19760900140646975,0.2517580872011252,0.03234880450070324,0.10288935870331219,0.09725158562367865,0.17758985200845667,0.17970401691331925,0.13671599718111346,0.13883016208597604,0.09513742071881606,0.07188160676532769
1022,3120.0,33.3,33.25732899022801,1.0,0.0,0.17307692307692307,0.046474358974358976,0.27884615384615385,0.16826923076923078,0.3157051282051282,0.017628205128205128,0.18241042345276873,0.0993485342019544,0.1237785016286645,0.2263843648208469,0.16775244299674266,0.10586319218241043,0.05537459283387622,0.03908794788273615
1023,4675.0,32.9,43.965240641711226,1.0,0.0,0.20641711229946524,0.059893048128342244,0.21390374331550802,0.24171122994652405,0.2641711229946524,0.013903743315508022,0.11229946524064172,0.10267379679144385,0.08128342245989305,0.1144385026737968,0.14331550802139037,0.16684491978609625,0.12620320855614972,0.15294117647058825
